Category;Item;Serving Size;Calories;Calories from Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein
Smoothies & Shakes;Mango Pineapple Smoothie (Small);12 fl oz cup;210;5;0.0;0.0;5;40;50;1;46;2
Smoothies & Shakes;Mango Pineapple Smoothie (Medium);16 fl oz cup;260;10;0.0;0.0;5;45;61;1;56;3
Smoothies & Shakes;Mango Pineapple Smoothie (Large);22 fl oz cup;340;10;0.5;0.0;5;60;78;2;72;4
Smoothies & Shakes;Vanilla Shake (Small);12 fl oz cup;530;140;10.0;1.0;60;160;86;0;63;11
Smoothies & Shakes;Vanilla Shake (Medium);16 fl oz cup;660;170;12.0;1.0;75;200;109;0;81;14
Smoothies & Shakes;Vanilla Shake (Large);22 fl oz cup;820;210;15.0;1.0;90;260;135;0;101;18
Smoothies & Shakes;Strawberry Shake (Small);12 fl oz cup;550;150;10.0;1.0;60;160;90;0;79;12
Smoothies & Shakes;Strawberry Shake (Medium);16 fl oz cup;690;180;13.0;1.0;75;210;114;0;100;15
Smoothies & Shakes;Strawberry Shake (Large);22 fl oz cup;850;210;15.0;1.0;90;260;140;0;123;18
Smoothies & Shakes;Chocolate Shake (Small);12 fl oz cup;560;150;10.0;1.0;60;240;91;1;77;12
Smoothies & Shakes;Chocolate Shake (Medium);16 fl oz cup;700;180;12.0;1.0;75;300;114;2;97;15
Smoothies & Shakes;Chocolate Shake (Large);22 fl oz cup;850;210;15.0;1.0;85;380;141;2;120;19
Smoothies & Shakes;Shamrock Shake (Medium);16 fl oz cup;660;170;12.0;1.0;75;210;109;0;93;14
Smoothies & Shakes;Shamrock Shake (Large);22 fl oz cup;820;210;15.0;1.0;90;260;135;0;115;18
Smoothies & Shakes;McFlurry with M&M’s Candies (Small);10.9 oz (310 g);650;210;14.0;0.5;50;180;96;1;89;13
Smoothies & Shakes;McFlurry with M&M’s Candies (Medium);16.2 oz (460 g);930;290;20.0;1.0;75;260;139;2;128;20
Smoothies & Shakes;McFlurry with M&M’s Candies (Snack);7.3 oz (207 g);430;140;10.0;0.0;35;120;64;1;59;9
Smoothies & Shakes;McFlurry with Oreo Cookies (Small);10.1 oz (285 g);510;150;9.0;0.5;45;280;80;1;64;12
Smoothies & Shakes;McFlurry with Oreo Cookies (Medium);13.4 oz (381 g);690;200;12.0;1.0;55;380;106;1;85;15
Smoothies & Shakes;McFlurry with Oreo Cookies (Snack);6.7 oz (190 g);340;100;6.0;0.0;30;190;53;1;43;8
Smoothies & Shakes;McFlurry with Reese's Peanut Butter Cups (Medium);14.2 oz (403 g);810;290;15.0;1.0;60;400;114;2;103;21
Smoothies & Shakes;McFlurry with Reese's Peanut Butter Cups (Snack);7.1 oz (202 g);410;150;8.0;0.0;30;200;57;1;51;10
