Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,Developer
Madden NFL 16,PS3,2015.0,Sports,Electronic Arts,0.57,0.06,0.0,0.14,0.78,,,3.1,EA Sports
Battle Stations,PS,1997.0,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78,,,,
Star Wars The Clone Wars: Jedi Alliance,DS,2008.0,Action,LucasArts,0.61,0.11,0.0,0.06,0.78,68.0,10.0,7.8,LucasArts
The World Ends With You,DS,2007.0,Role-Playing,Square Enix,0.49,0.04,0.21,0.04,0.78,88.0,59.0,8.9,Jupiter Corporation
Drawn to Life,DS,2007.0,Action,THQ,0.71,0.01,0.0,0.06,0.78,73.0,34.0,8.2,5TH Cell
Sid Meier's Civilization Revolution,PS3,2008.0,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.09,0.78,85.0,39.0,7.7,Firaxis Games
NBA 2K7,PS2,2006.0,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,81.0,12.0,8.4,"Kush Games, Visual Concepts"
Torneko no Daibouken: Fushigi no Dungeon,SNES,1993.0,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78,,,,
Jr. Pac-Man,2600,1983.0,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78,,,,
James Bond 007: Nightfire,GC,2002.0,Shooter,Electronic Arts,0.6,0.16,0.0,0.02,0.78,80.0,17.0,8.6,Eurocom Entertainment Software
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013.0,Sports,Nintendo,0.37,0.22,0.13,0.06,0.78,,,,
Goldeneye 007: Reloaded,PS3,2011.0,Shooter,Activision,0.33,0.33,0.0,0.12,0.78,72.0,38.0,6.3,Eurocom Entertainment Software
NBA ShootOut 98,PS,1998.0,Sports,Sony Computer Entertainment,0.43,0.29,0.0,0.05,0.78,,,,
Rayman Origins,X360,2011.0,Platform,Ubisoft,0.38,0.32,0.0,0.08,0.78,87.0,55.0,8.2,UBlart Montpellier
Galaxian,2600,1982.0,Shooter,Atari,0.72,0.05,0.0,0.01,0.77,,,,
Aliens: Colonial Marines,X360,2013.0,Shooter,Sega,0.36,0.34,0.0,0.07,0.77,48.0,47.0,3.8,Gearbox Software
Lips,X360,2008.0,Misc,Microsoft Game Studios,0.12,0.56,0.0,0.1,0.77,71.0,43.0,7.4,iNiS
Andretti Racing,PS,1996.0,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,,,,
Caesars Palace 2000: Millennium Gold Edition,PS,2000.0,Misc,Interplay,0.43,0.29,0.0,0.05,0.77,,,,
Air Raid,2600,1981.0,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,,,,
MadWorld,Wii,2009.0,Action,Sega,0.45,0.23,0.02,0.07,0.77,81.0,74.0,8.6,PlatinumGames
Need for Speed: ProStreet,PSP,2008.0,Racing,Electronic Arts,0.24,0.33,0.01,0.19,0.77,57.0,14.0,7.1,EA Games
Perfect Dark Zero,X360,2005.0,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77,81.0,75.0,7.3,Rare Ltd.
Marvel Nemesis: Rise of the Imperfects,PS2,2005.0,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77,53.0,30.0,6.3,"EA Canada, Nihilistic"
Boxing,2600,1980.0,Fighting,Activision,0.72,0.04,0.0,0.01,0.77,,,,
Need for Speed: Porsche Unleashed,PS,1999.0,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77,78.0,13.0,8.5,Eden Studios
ABBA: You Can Dance,Wii,2011.0,Misc,Ubisoft,0.18,0.49,0.0,0.1,0.77,66.0,5.0,,Ubisoft
Avatar: The Game,X360,2009.0,Action,Ubisoft,0.34,0.35,0.0,0.08,0.77,,,,
Resident Evil: Operation Raccoon City,X360,2012.0,Action,Capcom,0.55,0.14,0.03,0.06,0.77,52.0,56.0,4.9,Slant Six
UFC Personal Trainer: The Ultimate Fitness System,X360,2011.0,Sports,THQ,0.53,0.18,0.0,0.06,0.77,70.0,36.0,6.5,THQ
Crystal Castles,2600,1983.0,Action,Atari,0.72,0.04,0.0,0.01,0.77,,,,
Worms: Open Warfare,PSP,2006.0,Strategy,THQ,0.11,0.43,0.0,0.23,0.77,70.0,22.0,6.6,Team 17
Puzzler World,DS,2009.0,Puzzle,Ubisoft,0.41,0.3,0.0,0.07,0.77,,,,Ubisoft
Conker's Bad Fur Day,N64,2001.0,Platform,THQ,0.53,0.22,0.0,0.02,0.77,,,,
Dragon Warrior I&II,GB,1999.0,Role-Playing,Enix Corporation,0.0,0.0,0.77,0.0,0.77,,,,
Star Wars Episode II: Attack of the Clones,GBA,2002.0,Action,THQ,0.55,0.2,0.0,0.01,0.77,38.0,14.0,5.0,David A. Palmer Productions
Ghost Squad,Wii,2007.0,Shooter,Sega,0.42,0.21,0.08,0.07,0.77,69.0,42.0,7.5,"Artificial Mind and Movement, Polygon Magic"
Conflict: Desert Storm II - Back to Bagdhad,PS2,2003.0,Shooter,SCi,0.38,0.29,0.0,0.1,0.77,,,,
Maximo: Ghosts to Glory,PS2,2001.0,Platform,Capcom,0.38,0.29,0.0,0.1,0.77,84.0,33.0,8.7,Capcom
Donkey Kong Country 3,GBA,2005.0,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77,77.0,16.0,8.4,Rare Ltd.
All-Star Baseball 2003,PS2,2002.0,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,81.0,15.0,8.4,Acclaim Studios Austin
Unlimited Saga,PS2,2002.0,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77,45.0,26.0,3.0,SquareSoft
Pokemon Dash,DS,2004.0,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77,46.0,28.0,5.9,Ambrella
Dragon Ball: Raging Blast,PS3,2009.0,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77,57.0,26.0,7.2,Spike
Twisted Metal: Head On,PSP,2005.0,Action,Sony Computer Entertainment,0.71,0.0,0.0,0.06,0.77,79.0,45.0,8.2,Incognito Inc.
Personal Trainer: Walking,DS,2008.0,Sports,Nintendo,0.21,0.32,0.17,0.07,0.76,69.0,6.0,,Nintendo
Sonic Unleashed,PS2,2008.0,Platform,Sega,0.37,0.04,0.0,0.36,0.76,66.0,5.0,6.7,Sonic Team
Cabela's Deer Hunt: 2004 Season,PS2,2003.0,Sports,Activision Value,0.37,0.29,0.0,0.1,0.76,,,9.0,Sand Grain Studios
Formula 1,PS,1996.0,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76,,,,
Tetris Party Deluxe,DS,2010.0,Puzzle,Nintendo,0.28,0.3,0.12,0.07,0.76,76.0,11.0,,"Tetris Online, Inc"
Banjo-Kazooie: Nuts & Bolts,X360,2008.0,Platform,Microsoft Game Studios,0.32,0.35,0.0,0.08,0.76,,,,
FIFA 12,Wii,2011.0,Sports,Electronic Arts,0.15,0.5,0.0,0.11,0.76,,,,
My Baby Girl,DS,2008.0,Simulation,Nobilis,0.61,0.09,0.0,0.06,0.76,,,,Dancing Dots
Driv3r,XB,2004.0,Racing,Atari,0.36,0.38,0.0,0.03,0.76,56.0,57.0,4.7,Reflections Interactive
Mercenaries: Playground of Destruction,PS2,2005.0,Action,LucasArts,0.64,0.02,0.0,0.1,0.76,,,,
The Walking Dead: Season One,PS3,2012.0,Adventure,Avanquest Software,0.4,0.23,0.03,0.1,0.76,,,,
MTV Celebrity Deathmatch,PS2,2003.0,Fighting,Gotham Games,0.37,0.29,0.0,0.1,0.76,,,,
Street Fighter Alpha: Warriors' Dreams,PS,1995.0,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76,,,,
ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76,94.0,4.0,8.7,KCET
Need For Speed: Undercover,PSP,2008.0,Racing,Electronic Arts,0.23,0.31,0.03,0.19,0.76,52.0,7.0,6.8,Piranha Games
Metroid Prime Hunters,DS,2006.0,Shooter,Nintendo,0.57,0.04,0.11,0.06,0.76,85.0,54.0,8.0,Nintendo
Bayonetta 2,WiiU,2014.0,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,91.0,80.0,8.2,PlatinumGames
Star Wars Battlefront: Elite Squadron,PSP,2009.0,Shooter,LucasArts,0.38,0.23,0.0,0.15,0.76,63.0,25.0,8.0,Savage Entertainment
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,2010.0,Racing,Sega,0.37,0.32,0.0,0.07,0.76,,,,
Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01,0.76,,,,
Final Fantasy II,NES,1988.0,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76,,,,
Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002.0,Misc,Namco Bandai Games,0.0,0.0,0.76,0.0,0.76,,,,
Mega Man Battle Network 6: Cybeast Falzar / Gregar,GBA,2005.0,Role-Playing,Capcom,0.09,0.03,0.62,0.02,0.76,,,,
Doom (2016),XOne,2016.0,Shooter,Bethesda Softworks,0.44,0.25,0.0,0.07,0.76,,,,
Syphon Filter: The Omega Strain,PS2,2004.0,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76,65.0,47.0,6.9,Sony Bend
FIFA Soccer 11,PS2,2010.0,Sports,Electronic Arts,0.11,0.29,0.0,0.36,0.76,,,6.6,EA Sports
The Sims 3,3DS,2011.0,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,52.0,29.0,3.3,EA Games
Mortal Kombat: Deception,XB,2004.0,Fighting,Midway Games,0.61,0.12,0.0,0.03,0.76,81.0,53.0,8.8,Midway
That's So Raven,GBA,2004.0,Adventure,Disney Interactive Studios,0.54,0.2,0.0,0.01,0.76,39.0,6.0,7.6,Vicarious Visions
DJ Hero,Wii,2009.0,Misc,Activision,0.45,0.23,0.0,0.07,0.76,87.0,22.0,7.6,Exient Entertainment
Toy Story 3: The Video Game,X360,2010.0,Action,Disney Interactive Studios,0.41,0.27,0.0,0.07,0.76,,,,
Marvel vs. Capcom 2: New Age of Heroes,PS2,2002.0,Fighting,Capcom,0.31,0.24,0.13,0.08,0.76,,,,
Portal 2,PC,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,95.0,52.0,8.8,Valve Software
Duke Nukem Forever,PS3,2011.0,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.76,51.0,48.0,4.9,"Gearbox Software, 3D Realms"
Star Wars: The Force Unleashed II,Wii,2010.0,Action,LucasArts,0.52,0.18,0.0,0.06,0.76,71.0,10.0,7.8,"LucasArts, Red Fly Studio"
Legends of Wrestling,PS2,2001.0,Fighting,Acclaim Entertainment,0.37,0.29,0.0,0.1,0.76,,,,
True Crime: New York City,PS2,2005.0,Action,Activision,0.57,0.02,0.07,0.09,0.76,,,,
Lost Planet 2,X360,2010.0,Shooter,Capcom,0.38,0.23,0.08,0.06,0.76,,,,
Kane & Lynch: Dead Men,X360,2007.0,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76,,,,
Mario & Luigi: Paper Jam,3DS,2015.0,Role-Playing,Nintendo,0.16,0.29,0.26,0.04,0.76,,,,
Final Fantasy Legend III,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76,,,,
Harry Potter and the Half-Blood Prince,Wii,2009.0,Action,Electronic Arts,0.28,0.39,0.0,0.08,0.75,60.0,35.0,6.0,EA Bright Light
Wall-E,PS2,2008.0,Platform,THQ,0.21,0.0,0.0,0.54,0.75,67.0,8.0,8.4,Asobo Studio
Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,Nintendo,0.0,0.48,0.25,0.03,0.75,81.0,58.0,7.9,Level 5
Super Monkey Ball: Touch & Roll,DS,2005.0,Misc,Sega,0.69,0.0,0.0,0.06,0.75,,,,
Mega Man X5,PS,2000.0,Platform,Capcom,0.3,0.21,0.2,0.05,0.75,76.0,10.0,8.9,Capcom
Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015.0,Misc,Nintendo,0.03,0.66,0.02,0.04,0.75,,,,
Titanfall 2,PS4,2016.0,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75,89.0,56.0,8.4,Respawn Entertainment
Genji: Days of the Blade,PS3,2006.0,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75,55.0,46.0,5.8,Game Republic
Metal Gear Solid V: The Phantom Pain,XOne,2015.0,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75,95.0,10.0,7.3,"Kojima Productions, Moby Dick Studio"
Rockstar Games presents Table Tennis,X360,2006.0,Sports,Take-Two Interactive,0.28,0.38,0.0,0.08,0.75,81.0,75.0,7.8,Rockstar San Diego
Drawn to Life: The Next Chapter,Wii,2009.0,Puzzle,THQ,0.28,0.39,0.0,0.08,0.75,58.0,22.0,6.0,Planet Moon Studios
PokePark 2: Wonders Beyond,Wii,2011.0,Action,Nintendo,0.26,0.19,0.27,0.04,0.75,60.0,18.0,7.0,Creatures Inc.
DJ Hero 2,PS3,2010.0,Misc,Activision,0.47,0.19,0.0,0.1,0.75,86.0,46.0,7.8,FreeStyleGames
WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,THQ,0.41,0.2,0.0,0.14,0.75,72.0,9.0,6.0,Yuke's
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.41,0.28,0.0,0.06,0.75,72.0,6.0,5.2,TT Games
SoulCalibur V,PS3,2012.0,Fighting,Namco Bandai Games,0.35,0.23,0.07,0.09,0.75,81.0,53.0,6.7,Project Soul
Shark Tale,PS2,2004.0,Action,Activision,0.37,0.29,0.0,0.1,0.75,69.0,30.0,6.5,Edge of Reality
San Francisco Rush: Extreme Racing,N64,1997.0,Racing,GT Interactive,0.63,0.11,0.0,0.01,0.75,,,,
Zone of the Enders,PS2,2001.0,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78.0,21.0,7.4,KCEJ
Street Fighter EX Plus Alpha,PS,1997.0,Fighting,Virgin Interactive,0.28,0.19,0.23,0.05,0.75,,,,
Kane & Lynch: Dead Men,PS3,2007.0,Shooter,Eidos Interactive,0.29,0.32,0.01,0.13,0.75,,,,
Deer Drive,Wii,2009.0,Sports,Big Ben Interactive,0.66,0.04,0.0,0.05,0.75,,,,Kouyousha
Pro Evolution Soccer 2015,PS4,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75,82.0,56.0,7.2,Konami
Tony Hawk's Underground 2,XB,2004.0,Sports,Activision,0.48,0.24,0.0,0.03,0.75,83.0,55.0,7.8,Neversoft Entertainment
Madden NFL 06,PSP,2005.0,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75,75.0,23.0,7.9,EA Tiburon
We Sing,Wii,2009.0,Misc,Nordic Games,0.0,0.67,0.0,0.08,0.75,,,,
Raving Rabbids: Travel in Time,Wii,2010.0,Adventure,Ubisoft,0.21,0.46,0.0,0.08,0.75,62.0,24.0,7.6,Ubisoft
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001.0,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,81.0,22.0,7.9,Capcom
MVP 06 NCAA Baseball,PS2,2006.0,Sports,Electronic Arts,0.62,0.02,0.0,0.1,0.75,76.0,27.0,9.0,EA Canada
Turok,X360,2008.0,Action,Touchstone,0.46,0.2,0.01,0.07,0.75,69.0,63.0,7.1,Propaganda Games
Final Fantasy XIV: A Realm Reborn,PS4,2014.0,Role-Playing,Square Enix,0.33,0.23,0.08,0.11,0.75,,,,
Coded Arms,PSP,2005.0,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.17,0.75,59.0,42.0,6.5,Konami
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,Role-Playing,Square Enix,0.38,0.03,0.3,0.04,0.75,80.0,47.0,6.9,Square Enix
Jump Ultimate Stars,DS,2006.0,Fighting,Nintendo,0.0,0.0,0.74,0.0,0.74,,,,
Jampack Summer 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.36,0.28,0.0,0.1,0.74,,,,
The Lord of the Rings: Conquest,PS3,2009.0,Action,Electronic Arts,0.38,0.25,0.0,0.11,0.74,54.0,45.0,7.1,Pandemic Studios
Band Hero,PS3,2009.0,Misc,Activision,0.41,0.23,0.0,0.11,0.74,76.0,45.0,5.7,Neversoft Entertainment
Burnout,PS2,2001.0,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74,79.0,25.0,7.7,Criterion Games
Spectrobes,DS,2007.0,Role-Playing,Disney Interactive Studios,0.66,0.02,0.0,0.06,0.74,63.0,37.0,7.9,Jupiter Corporation
Rhythm Heaven: The Best+,3DS,2015.0,Misc,Nintendo,0.0,0.03,0.72,0.0,0.74,,,,
Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001.0,Misc,Konami Digital Entertainment,0.42,0.16,0.15,0.01,0.74,,,,
The Godfather II,PS3,2009.0,Action,Electronic Arts,0.41,0.21,0.01,0.1,0.74,67.0,53.0,7.2,EA Redwood Shores
Mortal Kombat: Unchained,PSP,2006.0,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74,70.0,19.0,8.8,JGI Entertainment
Need for Speed: Shift,PSP,2009.0,Racing,Electronic Arts,0.16,0.37,0.01,0.21,0.74,69.0,11.0,6.5,EA Bright Light
Dark Souls II,X360,2014.0,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91.0,30.0,7.9,From Software
Sega Superstars Tennis,DS,2008.0,Sports,Sega,0.29,0.37,0.0,0.08,0.74,65.0,19.0,,Sumo Digital
Assassin's Creed: Revelations,PC,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,80.0,20.0,7.4,Ubisoft Montreal
Final Fantasy X/X-2 HD Remaster,PS4,2015.0,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74,,,,
[Prototype 2],PS3,2012.0,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,39.0,6.8,Radical Entertainment
Midnight Club 3: DUB Edition,XB,2005.0,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,84.0,53.0,7.4,Rockstar San Diego
Resident Evil: Revelations,PS3,2013.0,Action,Capcom,0.14,0.29,0.22,0.09,0.74,74.0,30.0,7.2,Capcom
Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,Shooter,Ubisoft,0.42,0.19,0.0,0.13,0.74,60.0,20.0,7.1,Ubisoft Montreal
The Lord of the Rings: The Two Towers,GBA,2002.0,Action,Electronic Arts,0.53,0.2,0.0,0.01,0.74,,,,
Tiger Woods PGA Tour 2001,PS2,2001.0,Sports,Electronic Arts,0.36,0.28,0.0,0.09,0.74,74.0,19.0,,Stormfront Studios
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015.0,Action,Square Enix,0.17,0.13,0.37,0.06,0.74,,,,
Red Faction: Guerrilla,PS3,2009.0,Shooter,THQ,0.33,0.27,0.02,0.12,0.74,85.0,56.0,8.1,Volition Inc.
The Elder Scrolls V: Skyrim,XOne,2016.0,Role-Playing,Bethesda Softworks,0.41,0.27,0.0,0.07,0.74,,,,
Jet Moto 3,PS,1999.0,Racing,Sony Computer Entertainment,0.41,0.28,0.0,0.05,0.74,,,,
Ace Combat: Assault Horizon,PS3,2011.0,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77.0,28.0,6.7,Project Aces
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009.0,Action,Activision,0.31,0.31,0.0,0.12,0.74,,,,
Unreal Championship,XB,2002.0,Shooter,Atari,0.59,0.12,0.0,0.03,0.74,83.0,29.0,8.2,Digital Extremes
Lego Batman 3: Beyond Gotham,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.33,0.28,0.0,0.12,0.74,,,6.7,TT Games
Crysis 2,PC,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86.0,42.0,6.8,Crytek
Tales of Vesperia,X360,2008.0,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,79.0,67.0,8.2,Bandai Namco Games
MLB 13: The Show,PS3,2013.0,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,36.0,7.8,SCEA San Diego Studios
LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,8.0,8.0,TT Games
Namco Museum Remix,Wii,2007.0,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49.0,18.0,6.3,TOSE
NBA 2K16,PS3,2015.0,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,0.74,,,4.6,Visual Concepts
Sword of Mana,GBA,2003.0,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72.0,31.0,8.3,Brownie Brown
FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,,,3.3,"EA Sports, EA Vancouver"
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,Activision,0.49,0.15,0.0,0.09,0.73,74.0,48.0,7.3,Vicarious Visions
Dragon Age: Inquisition,PC,2014.0,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,45.0,5.9,BioWare
Resonance of Fate,PS3,2010.0,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72.0,42.0,8.0,Tri-Ace
Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.41,0.25,0.0,0.07,0.73,55.0,6.0,,Amaze Entertainment
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.73,55.0,24.0,6.9,Eurocom Entertainment Software
FIFA: Road to World Cup 98,PS,1997.0,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73,,,,
The Amazing Spider-Man (Console Version),X360,2012.0,Action,Activision,0.43,0.24,0.0,0.06,0.73,,,,
Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73,,,,
The Walking Dead: Season One,X360,2012.0,Adventure,Avanquest Software,0.55,0.13,0.0,0.05,0.73,,,,
Tiger Woods PGA Tour 08,PS3,2007.0,Sports,Electronic Arts,0.22,0.37,0.0,0.14,0.73,79.0,30.0,6.6,EA Salt Lake
Classic NES Series: Donkey Kong,GBA,2004.0,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55.0,15.0,4.8,Nintendo
Harvest Moon: Animal Parade,Wii,2008.0,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76.0,10.0,8.9,Natsume
Split/Second,PS3,2010.0,Racing,Disney Interactive Studios,0.31,0.3,0.01,0.11,0.73,,,,
Yoshi,GB,1991.0,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,,,,
Mortal Kombat 4,N64,1998.0,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73,,,,
WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,THQ,0.49,0.17,0.0,0.06,0.73,78.0,11.0,7.7,Yuke's
Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76.0,5.0,8.0,syn Sophia
Croc 2,PS,1999.0,Platform,Fox Interactive,0.41,0.28,0.0,0.05,0.73,,,,
Final Fantasy XIII-2,X360,2011.0,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,79.0,50.0,6.3,Square Enix
Practise English!,DS,2007.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,,,,
Oddworld: Munch's Oddysee,XB,2001.0,Platform,Atari,0.54,0.16,0.0,0.03,0.73,80.0,30.0,8.7,Oddworld Inhabitants
Persona 4: Arena,PS3,2012.0,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86.0,47.0,7.7,Arc System Works
Berzerk,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,,,,
Brink,PS3,2011.0,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72.0,39.0,5.8,Splash Damage
NHL 11,X360,2010.0,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,88.0,49.0,7.7,Electronic Arts
NCAA Football 07,X360,2006.0,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,79.0,43.0,6.9,EA Sports
Just Dance Wii,Wii,2011.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,,,,
Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84.0,67.0,8.7,Pandemic Studios
LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,71.0,70.0,7.0,TT Games
Katamari Damacy,PS2,2004.0,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86.0,55.0,9.0,Namco
Just Dance 2015,WiiU,2014.0,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,75.0,6.0,6.6,Ubisoft
Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,Atari,0.52,0.19,0.0,0.01,0.73,,,,Takara
LEGO Dimensions,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,53.0,7.1,Traveller's Tales
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74.0,23.0,7.1,"CyberConnect2, Racjin"
Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64.0,17.0,8.7,Dearsoft
James Bond 007: Agent Under Fire,GC,2002.0,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,74.0,16.0,6.8,Electronic Arts
Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,65.0,15.0,7.0,TOSE
Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73.0,13.0,7.5,Ubisoft
Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72,74.0,52.0,7.9,Treyarch
Monopoly Streets,Wii,2010.0,Misc,Electronic Arts,0.23,0.42,0.0,0.08,0.72,65.0,9.0,5.2,Electronic Arts
Imagine: Interior Designer,DS,2008.0,Simulation,Ubisoft,0.34,0.31,0.0,0.08,0.72,,,,Ubisoft
Ratchet & Clank Collection,PS3,2012.0,Action,Sony Computer Entertainment,0.47,0.13,0.02,0.1,0.72,,,,
SD Gundam G Generation,PS,1998.0,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.05,0.72,,,,
Rabbids Go Home,DS,2009.0,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,70.0,7.0,,Ubisoft Montpellier
Area 51,PS,1996.0,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72,,,,
Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,71.0,4.2,Creative Assembly
NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.6,EA Canada
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74.0,45.0,6.7,"Square Enix, Tri-Ace"
Dead to Rights,XB,2002.0,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,73.0,39.0,8.9,Namco
